x,y,SOC,ELEV,Aspect,Slope,NDVI,Silt_Clay
-61557.96038,1611890.339,15.443,433.2064209,170.8034363,1.360996485,0.673776269,81.97766113
-48851.55961,1711345.099,12.496,406.9046631,178.9953156,2.92980051,0.692755759,83.40403748
-703846.8009,1099565.449,5.16,1217.92688,151.8880463,1.328278422,0.279750466,46.90714264
-739917.0879,2473596.399,6.189,1094.049561,180.8042755,3.288715839,0.407987505,56.57187653
-688039.3523,1204783.599,1.095,1309.369141,155.4514923,0.835930109,0.329325885,20.37040901
-385624.7437,1735616.379,8.907,848.8656616,141.8076477,1.056837201,0.43184486,75.46060944
-768572.0862,2212553.399,5.313,1592.893188,171.8947296,4.266611576,0.38285476,62.92499924
-16475.33042,1691692.319,9.126,367.7178345,155.2165222,1.271922231,0.68952316,79.80537415
-15001.31999,1805272.839,6.6,327.3881531,189.4347382,2.726677418,0.73172164,79.90459442
-14128.91989,1661513.379,9.657,352.0820313,157.4314728,1.632966757,0.699740767,81.80000305
-11429.12019,1776393.159,13.564,373.6366272,159.2849274,3.918823957,0.702842951,82.09999847
-760560.3125,1535464.79,7.746,1841.826294,137.8275757,1.273437381,0.340306938,72.85161591
-671741.1444,1138061.319,4.861,1188.688477,150.4340057,1.050541401,0.330886126,53.94897842
-647856.2902,1419708.839,1.43,1334.156616,165.5557098,1.916359663,0.312738389,33.69800186
-631808.1545,1598299.209,4.492,1620.743896,130.3647003,3.420188904,0.338653505,62.89495087
-599167.7085,1976410.38,0.152,1306.727661,190.9215546,1.493518829,0.395361334,17.69052696
-330512.8302,1837470.84,3.667,738.788269,150.34198,2.017730951,0.521937072,81.21398163
-182261.5902,1607112.099,4.358,478.3442993,154.6984253,1.492005587,0.557419181,49.48602295
-687091.3496,1215201.319,1.509,1319.244751,150.5649414,0.931369781,0.337417811,29.72424316
-645168.4268,1340746.279,5.055,1330.67749,141.2685547,2.543166399,0.329684615,51.59896851
38428.81991,1738168.439,8.929,318.7072754,164.0430145,2.423948765,0.715699077,82.71463776
-146024.4398,1825628.36,7.719,469.864563,187.0672913,2.083795547,0.585410714,80.56326294
-594473.772,1969085.15,4.011,1306.727661,190.9215546,1.493518829,0.395361334,17.69052696
-625687.4494,1533536.589,2.586,1469.530151,137.918396,1.437999845,0.351200938,51.304039
-589718.2433,2003228.15,6.147,1212.831909,146.5111389,1.34484899,0.525343359,44.52978897
-583404.1066,1918748.348,3.48,1331.058105,160.0780792,1.530678153,0.4193905,13.47474766
-724782.0795,1318076.699,3.094,1447.438965,171.2640076,1.926331758,0.272656977,55.52604294
-594698.6393,1749774.469,3.446,1338.124756,136.8322906,1.147000909,0.369917333,23.91875076
-595147.226,1629972.729,2.983,1404.97644,152.2593536,1.608724833,0.305332929,77.64631653
-672086.613,1852833.46,9.1,1682.100464,167.9397278,1.977341056,0.383195162,58.71505356
-572691.8064,1873613.819,12.132,1326.947266,157.9876709,1.106243253,0.433712691,27.15757561
-358894.7241,1631327.07,3.055,794.2210083,144.319397,1.024565339,0.486693203,74.50416565
-258065.7199,1722169.629,9.529,600.5227051,175.5027924,1.253831625,0.478949368,80.81999969
-199103.0101,1834914.249,7.239,453.7666626,156.5876465,1.253076673,0.530182838,81.56296539
-105231.1796,1570883.669,7.946,355.4572754,171.1113892,1.10919857,0.57764554,72.48587036
-115329.4298,1762918.789,10.157,372.95401,165.3360901,1.564537168,0.557097614,71.57078552
-577331.5406,1823993.599,6.448,1387.389648,129.8982086,1.462466955,0.420667917,48.76700974
-562393.6058,1677025.299,8.05,1184.781738,143.0796967,1.468144894,0.305360764,82.30000305
-751140.1337,2465605.429,16.93,1228.085571,168.116272,3.771915197,0.40025413,50.81900024
-351155.0407,1656907.499,4.322,790.34729,142.6498871,1.131296992,0.393349916,79.33750153
-29776.27959,1882638.149,11.136,421.0206299,164.9431,2.623775959,0.705776215,73.12000275
-115907.4301,1663430.659,7.765,448.5705872,173.1596985,0.932754338,0.526493669,82.13176727
-396982.6082,1664628.889,5.744,858.2679443,149.5367126,0.910708845,0.456023455,79.7416687
-488205.8138,1603668.169,2.349,973.7722778,142.8783417,0.875295162,0.415682524,73.31666565
55508.12998,1564749.63,13.147,269.3353577,177.4589233,1.011652946,0.673385859,81.6585083
-138173.6101,1873910.139,7.668,479.9029236,160.9447632,1.284991384,0.611495912,79.69021606
-714159.7779,1963366.419,13.351,1414.151978,178.4107513,1.183509231,0.560792089,38.35874939
-46497.44963,1789725.609,13.335,350.5293274,145.809494,3.305817604,0.711380064,76.22676086
-526719.2236,1960072.519,4.592,1134.016479,123.4939117,0.930659294,0.573912621,54.87659454
-539740.2039,1725324.569,3.595,1218.513062,130.7285919,0.817521036,0.32496354,81.18571472
-559158.9957,1608126.408,6.129,1221.068848,115.2586517,0.967039883,0.376434654,56.22603989
-650491.572,1269960.159,2.545,1261.498779,162.6478882,0.981586695,0.452881664,20.45102119
-500136.9589,1855436.049,3.071,1119.703491,151.5814362,1.170495033,0.450192213,87.80515289
-94646.11987,1703930.589,9.957,420.4744873,156.6684418,1.091234565,0.587176681,81.56493378
-540340.824,1607829.889,2.839,1174.906982,143.3110352,0.899481833,0.430893213,62.57300186
-616552.0033,1882372.38,11.156,1487.530029,142.8335114,1.162791014,0.34585166,75.85624695
44124.87026,1790530.159,12.903,296.3933716,184.4024048,3.371665239,0.750859082,79.30635071
-539632.6063,1975104.719,4.977,1164.256958,147.4121857,0.867829382,0.398264199,63.29999924
-527997.074,1788544.37,6.334,1215.990112,143.5032654,1.484816074,0.442204922,69.74330139
-749317.4866,2001681.769,2.784,1650.663574,154.1109619,1.834835291,0.36465326,47.06210709
-714067.4402,1913846.649,2.304,1551.125854,128.0744476,1.301409125,0.331707418,59.16458511
-447536.4061,1825374.349,10.54,1008.366211,151.8770599,1.070653319,0.42191124,88.42424011
-448853.752,1666639.849,7.438,909.0388184,156.3795624,0.998335063,0.66921109,14.82857132
-439294.8069,1757993.419,4.563,925.0328369,148.4635468,1.983184457,0.419812948,75.19174957
-732508.6474,2226256.709,4.392,1500.801392,194.6690521,2.286377907,0.344278902,34.29100037
33632.56999,1859375.08,9.419,343.7295837,167.1470032,1.772246838,0.750725389,81.11927795
-441061.8581,1624942.499,5.46,924.6051025,163.1055145,1.178359032,0.484200716,73.26087189
-150086.8199,1583592.189,2.335,390.2870483,182.8759155,0.96122098,0.463539988,59.67291641
-414935.4642,1591271.39,5.625,862.3266602,143.7496033,0.876489043,0.535422146,76.59999847
-505460.9565,1607216.489,4.126,1030.052979,110.139595,0.781253636,0.326292247,75.5
-223344.4902,1640999.629,1.136,567.9083252,155.813736,1.091024637,0.517540514,37.38105392
-386377.9358,1702969.379,3.956,851.2306519,167.2877197,1.284581423,0.388672352,75.03504944
-376273.4807,1854561.089,4.903,821.1589966,162.820816,1.928120017,0.489798218,85.52603912
66476.9597,1628505.589,8.78,293.8309326,184.4200745,1.39074862,0.721526146,83.90769196
-142215.5803,1622060.229,5.4,435.7817688,177.4469147,1.103441119,0.493325055,57.49677277
-356599.0501,1782748.419,5.37,782.8870239,159.3982697,1.182988644,0.458886147,82.05789185
-468650.6126,1603322.929,4.23,935.8794556,144.8565674,0.898064971,0.581132531,67.02783203
-251156.6802,1685283.769,1.726,605.6264648,121.7709351,0.649252713,0.574132502,34.78125
-745438.9207,1933795.589,11.275,1507.090576,133.7655182,1.302446842,0.513231218,41.94404602
-237408.8901,1558240.009,2.274,454.1506653,147.2152557,1.589675307,0.416710168,81.69999695
-234366.9898,1656677.67,4.327,585.0255737,149.344635,1.097045779,0.54985714,32.41182709
-339050.66,1870425.66,3.7,735.6009521,167.0108948,1.91777432,0.503653765,87.06046295
-230458.5099,1722085.3,11.779,566.4096069,168.0747681,1.035616636,0.523535013,80.1222229
-335319.9001,1807920.99,4.622,732.536438,148.8384552,1.632046223,0.48653847,81.69670105
17246.58974,1576375.739,4.31,258.6488037,137.0430298,1.548303962,0.652731657,74.44615173
-350131.7862,1821475.969,1.97,744.1821289,142.2647247,2.306552887,0.509786665,77.25384521
-306309.5696,1699842.089,7.794,676.6921387,173.5391693,1.339965463,0.456931025,81.3208313
-637569.9463,1954721.838,3.435,1303.09436,134.3344727,1.282466412,0.510189116,30.64878082
-290632.0099,1626118.769,0.462,699.2559814,141.9971466,0.976019144,0.527522802,45.08842087
17178.91966,1646016.089,16.336,319.1221008,173.4338531,1.88845098,0.731043339,70.87419128
-186169.9004,1560048.289,4.002,414.6341248,164.9907074,1.271191478,0.449849814,84.07065582
-362063.1324,1652025.799,5.737,808.7618408,152.3935394,0.753047287,0.394034714,80.51717377
-180680.2201,1589604.549,9.461,472.9762268,182.1896667,1.370800495,0.461937368,39.76020432
-431948.781,1820414.039,11.578,982.3356323,138.9476929,0.942098022,0.530194163,88.42021179
-722161.4492,1611583.469,16.147,1715.686646,151.1986542,1.637153149,0.274126977,68.12365723
-557424.7142,1842606.109,6.753,1277.841431,145.3148041,1.787986517,0.498598099,43.56700897
-503265.9834,1649113.079,1.03,1038.993896,166.9897766,1.311900854,0.378094524,75.56464386
53216.77001,1873968.349,7.5,313.8303223,176.8919983,2.361840725,0.796992183,88.55212402
-145079.9597,1748561.849,5.899,404.9074097,166.7960052,1.420695901,0.505854964,81.52417755
-206822.0198,1723859.659,5.665,542.1763306,134.1867218,0.785101414,0.474399,80.80000305
-535770.5163,1959841.789,9.614,1161.650269,121.1834183,1.093007207,0.477525473,52.59999847
-189603.8799,1705667.94,8.627,518.9393311,186.9005737,0.976250708,0.526044607,80.87526703
70606.75988,1655418.159,10.672,323.6609802,147.1656799,1.067159891,0.690666437,74.41894531
-364313.8566,1868653.499,5.171,790.6467285,135.2474823,1.789128542,0.47734651,85.92127991
23182.43028,1657455.579,14.977,326.1619568,161.5198059,1.388623476,0.722290516,75.1162796
83927.82014,1866270.949,4.488,298.0536804,173.3465118,3.145534277,0.773537636,89.83441162
27833.21022,1739159.649,10.413,333.5476685,174.4058533,1.608993888,0.73229748,81.07499695
-631899.2274,1487039.628,1.286,1417.696777,154.6199036,1.022344232,0.40715158,49.59278488
-600539.5366,1896742.659,3.852,1429.502563,137.6963959,1.066038489,0.388191253,55.60699844
-3065.280336,1861836.969,12.207,373.4152222,181.1127625,2.365212917,0.723218083,74.25164795
40783.26026,1837866.58,10.728,323.9975891,180.0093079,1.858105779,0.726082504,74.16736603
-802878.8217,2484183.809,11.049,1229.811035,174.0249329,5.013376713,0.408586591,56.6780014
-141635.0699,1757176.229,7.583,393.8743591,148.7806854,1.557891011,0.495669812,82.31771851
-91677.17986,1742552.679,6.23,409.5541077,165.1920624,1.716577172,0.549560785,83
53835.51968,1870124.389,6.433,313.8303223,176.8919983,2.361840725,0.796992183,88.55212402
-305867.5098,1690927.959,10.793,660.0980225,158.4415131,0.989168108,0.515275896,83.25263214
-318031.34,1622895.169,6.009,728.6289673,153.9803772,0.963869989,0.495620817,62.48631668
-147565.3103,1700101.2,5.02,458.9194336,166.0015564,0.981584549,0.550418854,79.09999847
-463700.3201,1879401.539,15.74,1030.479126,144.9110565,1.911791921,0.419105828,87.71546173
24683.15966,1672292.349,6.746,319.3804016,143.6337585,1.325238705,0.721718729,82.79777527
-448565.5201,1584295.659,2.541,900.635437,144.4664612,1.016467214,0.522922873,26.95918274
-1057462.967,1701899.578,30.473,3124.866211,191.0362244,16.74751282,0.737809896,22.5359993
-1067881.934,1779151.36,8.818,2581.483887,149.9677124,6.358552933,0.70171386,54.02199936
